Date,Price,Open,High,Low,Vol.,Change %
16-Feb-22,"44,095.90","44,540.90","44,552.90","43,692.20",51.79K,-1.01%
15-Feb-22,"44,544.40","42,550.30","44,722.60","42,460.10",56.34K,4.69%
14-Feb-22,"42,550.30","42,061.10","42,799.70","41,591.30",53.60K,1.16%
13-Feb-22,"42,061.10","42,205.50","42,725.10","41,880.10",25.88K,-0.34%
12-Feb-22,"42,205.20","42,388.40","43,006.40","41,776.80",37.88K,-0.43%
11-Feb-22,"42,388.40","43,519.30","43,915.10","42,023.40",69.95K,-2.60%
10-Feb-22,"43,521.00","44,388.90","45,755.20","43,242.50",89.69K,-1.96%
9-Feb-22,"44,388.90","44,038.20","44,800.40","43,163.00",50.92K,0.80%
8-Feb-22,"44,038.20","43,833.90","45,399.80","42,705.00",92.88K,0.47%
7-Feb-22,"43,833.90","42,385.20","44,468.30","41,695.40",76.60K,3.40%
6-Feb-22,"42,392.20","41,411.90","42,614.80","41,176.30",31.20K,2.37%
5-Feb-22,"41,412.10","41,566.50","41,899.80","40,963.30",46.32K,-0.37%
4-Feb-22,"41,567.60","37,287.80","41,689.00","37,041.10",95.49K,11.48%
3-Feb-22,"37,287.80","36,890.20","37,304.30","36,297.30",50.35K,1.08%
2-Feb-22,"36,890.20","38,711.20","38,853.80","36,682.30",53.74K,-4.70%
1-Feb-22,"38,709.70","38,475.60","39,230.00","38,037.90",55.20K,0.55%
31-Jan-22,"38,498.60","37,923.80","38,701.40","36,672.80",61.27K,1.53%
30-Jan-22,"37,917.70","38,167.50","38,313.30","37,390.60",34.10K,-0.66%
29-Jan-22,"38,170.80","37,736.50","38,663.70","37,350.20",42.77K,1.13%
28-Jan-22,"37,745.10","37,195.60","37,995.90","36,176.50",69.45K,1.56%
27-Jan-22,"37,164.30","36,800.10","37,215.40","35,543.20",83.52K,0.99%
26-Jan-22,"36,800.40","36,962.30","38,862.60","36,280.00",107.87K,-0.41%
25-Jan-22,"36,950.60","36,691.30","37,501.80","35,729.30",79.68K,0.72%
24-Jan-22,"36,686.30","36,268.60","37,424.00","32,985.60",153.77K,1.15%
23-Jan-22,"36,269.50","35,072.90","36,513.00","34,655.20",70.43K,3.40%
22-Jan-22,"35,075.20","36,467.70","36,749.80","34,116.00",138.09K,-3.84%
21-Jan-22,"36,475.50","40,698.10","41,104.60","35,503.90",155.80K,-10.41%
20-Jan-22,"40,715.90","41,683.60","43,487.10","40,568.30",65.28K,-2.31%
19-Jan-22,"41,677.80","42,365.30","42,558.00","41,160.90",53.77K,-1.62%
18-Jan-22,"42,364.60","42,209.90","42,674.20","41,300.70",47.32K,0.37%
17-Jan-22,"42,209.30","43,080.50","43,179.60","41,559.40",41.44K,-2.02%
16-Jan-22,"43,079.10","43,079.20","43,462.00","42,643.30",28.66K,-0.04%
15-Jan-22,"43,097.00","43,073.60","43,777.90","42,586.10",31.44K,0.06%
14-Jan-22,"43,073.30","42,562.20","43,435.10","41,848.70",50.50K,1.21%
13-Jan-22,"42,560.00","43,900.00","44,404.70","42,337.50",53.42K,-3.05%
12-Jan-22,"43,901.00","42,735.00","44,243.60","42,476.70",53.95K,2.73%
11-Jan-22,"42,733.20","41,829.10","43,090.20","41,287.60",61.78K,2.15%
10-Jan-22,"41,832.20","41,848.90","42,243.80","39,697.00",85.50K,-0.04%
9-Jan-22,"41,848.30","41,681.20","42,764.40","41,260.90",37.51K,0.42%
8-Jan-22,"41,672.00","41,551.30","42,304.40","40,574.30",52.54K,0.30%
7-Jan-22,"41,546.70","43,097.90","43,127.70","40,810.00",88.36K,-3.60%
6-Jan-22,"43,097.50","43,431.60","43,772.30","42,481.10",63.08K,-0.76%
5-Jan-22,"43,425.90","45,833.10","47,019.40","42,535.10",83.74K,-5.26%
4-Jan-22,"45,837.30","46,435.70","47,505.40","45,602.10",55.59K,-1.28%
3-Jan-22,"46,430.20","47,293.90","47,556.00","45,704.00",41.06K,-1.86%
2-Jan-22,"47,311.80","47,738.70","47,944.90","46,718.20",27.02K,-0.89%
1-Jan-22,"47,738.00","46,217.50","47,917.60","46,217.50",31.24K,3.29%
31-Dec-21,"46,219.50","47,123.30","48,553.90","45,693.60",58.18K,-1.92%
30-Dec-21,"47,123.30","46,470.70","47,901.40","46,003.00",60.96K,1.42%
29-Dec-21,"46,461.70","47,548.40","48,121.70","46,127.80",63.92K,-2.28%
28-Dec-21,"47,545.20","50,703.40","50,703.80","47,345.70",74.39K,-6.18%
